user_id,Recency,Frequency,MonetaryValue
137,17,51,12790
138,8,24,5790
139,6,21,5010
140,1,107,24780
141,8,33,7810
142,1,20,4820
143,1,206,49680
144,1,316,76690
145,13,29,7400
146,15,20,4630
147,3,65,15120
148,5,36,8960
149,7,32,7740
150,1,307,74450
151,12,106,25450
152,39,23,5820
153,5,51,11730
154,35,22,4950
155,4,37,8720
156,11,51,12280
157,2,173,42410
158,1,107,25570
159,1,120,28360
160,4,58,13210
161,4,42,10220
162,6,23,5500
163,3,63,15100
164,1,30,6880
165,4,20,4900
166,1,69,16790
167,3,69,16900
168,14,37,8890
169,24,22,4640
170,1,28,6900
171,31,27,6890
172,3,43,10210
173,2,177,42460
174,10,38,8490
175,1,63,15750
176,3,115,28070
177,2,273,65150
178,1,42,9950
179,5,63,15070
180,1,435,105500
181,58,28,6730
182,13,53,12510
183,1,251,60980
184,10,48,11940
185,3,92,22940
186,5,56,13030
187,1,112,27470
188,2,187,45480
189,11,59,13970
190,3,27,6650
191,1,35,7920
192,1,121,28050
193,1,305,73790
194,7,96,22700
195,11,39,8880
196,3,118,28750
197,3,181,43840
198,37,40,9720
199,5,216,51440
200,2,386,92100
201,54,20,5220
202,7,43,10300
203,4,42,9540
204,19,22,5460
205,7,64,15480
206,1,230,55450
207,10,33,7700
208,8,33,7660
209,1,132,31540
210,11,37,8750
211,6,25,6140
212,1,126,30140
213,5,128,31410
214,1,93,22880
215,1,131,31410
216,3,76,17830
217,8,53,13370
218,18,28,7070
219,1,22,5030
220,2,146,34570
221,1,387,92380
222,2,105,25010
223,1,141,34290
224,27,27,6490
225,24,50,12020
226,2,58,14220
227,22,21,4800
228,3,30,7000
229,1,133,31180
230,4,21,5000
231,7,93,22700
232,14,110,26760
233,1,480,114710
234,1,94,22950
235,4,124,30010
236,1,48,11360
237,49,29,6880
238,3,159,39100
239,9,24,5650
240,28,23,6070
241,1,20,4630
242,2,81,20050
243,1,238,56510
244,19,22,5480
245,1,195,46930
246,15,26,6240
247,4,56,13450
248,1,161,38590
249,7,122,28910
250,3,77,18820
251,22,21,5280
252,14,97,22830
253,1,159,37560
254,2,83,20590
255,1,207,51130
256,6,57,13790
257,5,23,5440
258,2,46,11150
259,10,24,5870
260,3,27,6470
261,4,160,38530
262,2,123,29840
263,1,120,28950
264,1,46,10840
265,8,23,5310
266,1,185,45090
267,7,328,78800
268,1,323,77540
269,1,138,33500
270,1,278,66600
271,8,51,12100
272,18,22,5210
273,5,71,17080
274,1,95,22060
275,1,518,125150
276,1,54,12900
277,47,23,5760
278,1,434,103240
279,1,258,62290
280,25,26,6570
281,30,22,5330
282,2,53,13090
283,9,47,11670
284,33,32,7730
285,1,288,69270
286,1,62,14780
287,5,75,18070
288,5,27,6530
289,6,150,36000
290,1,296,71170
291,3,124,29270
292,1,388,93520
293,1,150,36020
294,1,196,46840
295,2,147,34750
296,3,192,46120
297,1,127,30020
298,1,280,68740
299,19,20,5020
300,1,275,66240
301,40,21,5290
302,1,484,117620
303,1,26,6090
304,1,222,53800
305,21,32,7610
306,3,112,26560
307,1,397,95910
308,5,20,4830
309,44,21,5400
310,1,294,72860
311,1,223,51870
312,1,262,62740
313,1,245,59530
314,1,87,21130
315,1,75,17900
316,1,22,5060
317,1,174,41540
318,57,23,5790
319,1,154,37610
320,1,125,30260
321,7,51,12290
322,3,89,21510
323,19,66,17310
324,8,142,34310
325,1,187,45650
326,3,284,70040
327,1,283,67650
328,1,65,15590
329,1,147,34440
330,2,70,17250
331,3,183,45640
332,1,26,5970
333,1,333,79230
334,2,22,5020
335,3,130,31090
336,17,34,8230
337,4,75,18600
338,1,254,60240
339,1,44,10430
340,8,21,5200
341,3,201,47610
342,1,237,55480
343,1,190,46390
344,1,232,56300
345,2,193,46300
346,1,199,48290
347,1,58,14120
348,2,41,10060
349,19,50,12430
350,3,44,10430
351,1,42,10180
352,23,25,6120
353,3,233,55760
354,3,26,6580
355,15,24,6000
356,7,76,17960
357,12,43,10030
358,3,27,6460
359,3,102,23500
360,1,121,29810
361,12,25,6130
362,1,311,74240
363,32,20,4630
364,4,58,13980
365,24,33,8190
366,13,58,13720
367,7,45,10660
368,75,22,5760
369,7,75,18350
370,22,51,12790
371,19,66,16480
372,2,233,55640
373,1,274,65130
374,16,28,6630
375,1,30,6860
376,9,33,7690
377,1,375,91120
378,3,196,47540
379,1,162,37920
380,5,127,29920
381,2,53,12310
382,1,71,17010
383,11,22,5430
384,3,281,67660
385,14,23,5240
386,1,304,72060
387,13,52,12710
388,1,271,65280
389,8,31,7460
390,1,121,28320
391,5,111,25980
392,1,448,107020
393,1,149,36410
394,6,57,13500
395,3,54,12640
396,1,102,24350
397,1,172,41100
398,2,319,76770
399,12,22,5000
400,2,153,37320
401,1,68,15630
402,1,50,12190
403,8,44,10290
404,1,737,175990
405,1,342,81460
406,1,226,54320
407,2,27,6820
408,1,203,48500
409,2,28,6760
410,5,58,13790
411,12,51,11970
412,1,50,11770
413,18,25,5860
414,2,24,5390
415,1,493,117410
416,1,365,84980
417,6,20,4720
418,3,32,7560
419,4,36,9290
420,11,62,15200
421,1,97,23030
422,9,64,15080
423,10,44,10330
424,1,204,47900
425,4,101,24760
426,6,31,7200
427,5,55,13210
428,1,414,99690
429,8,65,14910
430,1,21,4870
431,6,62,14350
432,11,41,9950
433,9,44,10390
434,1,379,89940
435,1,145,35180
436,1,263,63420
437,5,33,8010
438,1,31,7110
439,10,51,12420
440,1,20,5000
441,1,143,34340
442,11,24,5990
443,20,24,5880
444,4,135,32530
445,1,36,8520
446,1,139,32970
447,1,38,8600
448,1,75,17920
449,1,540,130310
450,6,98,24540
451,3,206,48030
452,2,156,36830
453,2,236,56280
454,3,189,45120
455,1,217,52630
456,4,277,67760
457,2,183,43580
458,2,118,28350
459,7,68,16570
460,39,23,5510
461,12,33,7880
462,1,133,32350
463,1,53,13130
464,19,80,19330
465,1,101,24100
466,11,44,10530
467,1,143,35020
468,16,43,9810
469,6,57,13420
470,46,31,7490
471,1,263,62940
472,5,35,8020
473,2,327,79110
474,3,20,4610
475,9,83,20280
476,2,35,8480
477,2,113,27400
478,1,202,48290
479,9,60,15540
480,4,56,13100
481,23,26,6370
482,1,59,14230
483,1,139,33490
484,41,26,6630
485,1,189,44100
486,2,231,56350
487,1,154,36810
488,4,109,25100
489,3,57,13330
490,4,33,8040
491,5,55,13230
492,1,135,32450
493,4,47,11680
494,2,213,51710
495,1,129,31300
496,1,279,66900
497,1,149,35810
498,1,102,24300
499,1,225,52990
500,12,73,16840
501,6,37,8780
502,1,160,38430
503,3,251,58980
504,1,112,27040
505,2,242,60410
506,7,58,14180
507,5,87,20840
508,19,33,7990
509,23,30,6920
510,1,24,6210
511,50,21,5190
512,10,22,5630
513,3,194,47920
514,4,40,9250
515,12,21,5040
516,22,37,9050
517,3,73,17360
518,1,49,12130
519,54,23,5620
520,1,150,36440
521,4,30,6940
522,12,100,23930
523,1,306,74240
524,9,54,13270
525,5,68,16800
526,9,137,32810
527,2,53,12740
528,2,43,10540
529,12,45,10590
530,13,30,6820
531,1,274,65800
532,1,260,61970
533,2,80,18980
534,1,218,54510
535,3,163,38900
536,1,490,116990
537,4,81,18930
538,1,56,13670
539,1,63,15960
540,3,133,31930
541,1,135,30830
542,3,197,47630
543,4,31,7510
544,7,162,38040
545,14,59,14310
546,23,23,5590
547,2,155,37500
548,1,25,6040
549,6,40,9910
550,1,334,78510
551,1,84,21040
552,11,100,24640
553,5,114,27180
554,7,52,13350
555,1,44,10450
556,1,53,12680
557,26,20,4900
558,8,76,17840
559,2,101,23530
560,1,357,85300
561,3,72,17490
562,5,30,7700
563,8,34,7530
564,1,35,8300
565,1,149,35800
566,1,155,36270
567,5,81,20330
568,1,70,16200
569,1,22,5210
570,52,20,5130
571,64,20,5220
572,3,51,12180
573,3,46,11170
574,15,26,6150
575,24,36,8210
576,2,188,44570
577,7,24,5420
578,16,74,17420
579,8,47,10870
580,17,28,6450
581,5,62,14860
582,13,27,6440
583,2,24,5470
584,11,80,19260
585,1,166,39430
586,1,98,23650
587,1,225,53570
588,5,43,10650
589,5,48,11880
590,8,84,20280
591,1,360,86360
592,1,156,37080
593,9,25,5930
594,1,96,23500
595,1,20,4530
596,1,41,9790
597,13,25,5940
598,1,47,11250
599,1,89,21330
600,1,148,35970
601,3,29,7120
602,2,47,10440
603,15,27,6320
604,23,90,21520
605,1,236,56550
606,1,37,9100
607,1,163,38510
608,3,28,6600
609,1,75,17620
610,13,42,10440
611,12,27,6540
612,9,28,6820
613,17,39,9500
614,6,103,24720
615,8,43,10270
616,1,108,26310
617,1,216,52170
618,2,89,21720
619,3,110,26580
620,1,171,41530
621,1,228,54850
622,5,45,10280
623,1,141,33680
624,1,106,25150
625,5,32,7600
626,1,181,43600
627,7,27,6510
628,2,121,29070
629,1,108,25530
630,89,20,5190
631,2,118,28650
632,3,58,13950
633,1,135,31320
634,9,34,7970
635,1,20,4880
636,4,104,24590
637,1,67,15380
638,3,148,35500
639,1,109,25960
640,2,40,9660
641,1,318,75690
642,1,206,48600
643,1,42,10180
644,2,122,29120
645,21,38,9380
646,2,58,13710
647,1,297,69530
648,5,24,5830
649,6,311,74520
650,56,21,5350
651,5,22,5110
652,1,283,68140
653,3,147,34640
654,1,685,163770
655,13,24,5870
656,13,29,6840
657,17,71,17300
658,1,191,45830
659,1,224,54050
660,2,121,28800
661,20,23,5450
662,1,158,37740
663,1,166,39400
664,1,142,34580
665,1,245,58300
666,27,47,11460
667,1,46,11150
668,2,100,23690
669,4,46,11380
670,1,124,29900
671,2,29,7310
672,1,35,8560
673,3,41,8930
674,8,34,8230
675,1,77,18160
676,2,49,11190
677,20,28,6890
678,5,62,15070
679,2,38,9070
680,6,22,5660
681,1,399,95000
682,1,75,17750
683,1,86,20770
684,7,20,4400
685,1,71,16580
686,2,21,5160
687,1,24,5880
688,27,36,8690
689,1,115,27390
690,3,32,7260
691,5,40,9860
692,1,154,36530
693,8,157,37960
694,12,38,9120
695,15,29,6880
696,1,105,25500
697,1,127,30880
698,1,149,34580
699,8,21,4930
700,11,33,7930
701,22,31,7510
702,5,47,11790
703,2,90,20670
704,1,114,28120
705,8,29,6860
706,1,236,57660
707,1,105,25180
708,15,138,33000
709,1,86,21120
710,1,221,52650
711,5,162,38800
712,3,30,7110
713,7,44,10380
714,2,167,40420
715,2,269,63850
716,1,93,23290
717,2,39,9740
718,3,67,15950
719,32,30,7070
720,2,168,41160
721,4,42,10430
722,17,22,5420
723,2,85,20270
724,7,25,5820
725,24,24,6110
726,2,322,76440
727,14,26,5910
728,24,21,5170
729,1,38,9030
730,1,83,20160
731,8,20,4810
732,7,107,25830
733,1,64,15370
734,1,53,12350
735,1,24,5820
736,14,33,7960
737,1,148,35970
738,15,35,8530
739,12,20,4570
740,6,104,24780
741,6,26,6020
742,33,35,8840
743,19,27,6740
744,1,60,13550
745,1,67,16530
746,1,293,70000
747,1,108,26510
748,1,305,71990
749,5,33,7750
750,1,168,41160
751,1,73,17650
752,1,57,13920
753,21,34,8380
754,1,38,8890
755,3,109,26550
756,1,166,39570
757,1,357,85270
758,1,32,7300
759,14,41,10310
760,14,66,15880
761,4,21,5140
762,1,129,30910
763,10,109,26080
764,36,23,5710
765,8,175,42170
766,4,37,8590
767,1,64,16140
768,14,29,7230
769,14,64,15590
770,1,70,17140
771,1,33,8050
772,3,161,40040
773,5,224,54340
774,1,28,6800
775,4,105,25010
776,25,36,8800
777,3,65,16050
778,8,37,8450
779,21,55,12710
780,21,42,10050
781,1,232,55570
782,2,30,7200
783,7,39,8990
784,12,27,6320
785,2,117,28130
786,16,57,13600
787,1,249,60840
788,3,33,8070
789,1,231,54980
790,6,25,6160
791,1,47,11230
792,1,55,13490
793,1,39,9260
794,4,159,37130
795,1,358,86510
796,1,26,6010
797,2,239,57450
798,39,24,5560
799,2,28,6540
800,1,26,6130
801,1,75,17490
802,3,33,7580
803,1,332,79180
804,1,273,65580
805,1,140,33490
806,1,204,48180
807,37,23,5640
808,18,20,4570
809,13,26,6360
810,14,21,4710
811,1,20,4710
812,25,29,7050
813,12,35,7970
814,1,183,43510
815,4,25,6170
816,14,36,9160
817,6,21,5110
818,18,28,6590
819,5,21,4790
820,7,62,14840
821,23,25,6140
822,5,185,43860
823,1,20,4760
824,1,145,34920
825,1,115,27590
826,2,28,6720
827,1,104,25070
828,8,64,14700
829,1,106,25430
830,9,73,17140
831,41,25,6340
832,1,267,62620
833,7,54,12750
834,1,102,24340
835,5,50,12770
836,10,46,11040
837,5,93,21930
838,15,57,14210
839,1,197,48110
840,21,31,7640
841,1,27,6650
842,7,204,49260
843,2,81,19030
844,3,31,7210
845,1,405,96930
846,2,146,34600
847,1,150,35770
848,3,23,5480
849,2,51,12410
850,2,209,49160
851,9,49,11980
852,40,41,9930
853,1,217,50570
854,11,23,5500
855,39,26,6460
856,1,22,5530
857,7,21,4670
858,5,39,9000
859,1,71,16980
860,1,43,10070
861,1,165,38490
862,1,107,25650
863,1,294,70040
864,1,66,16350
865,35,20,4950
866,1,95,22330
867,4,208,50760
868,8,47,11590
869,1,269,63830
870,4,115,26670
871,1,71,16920
872,3,20,4430
873,56,34,8610
874,1,89,21250
875,32,21,5240
876,5,81,19450
877,1,134,32170
878,3,29,7010
879,1,368,89150
880,1,259,62580
881,3,137,33350
882,1,268,65890
883,3,43,9920
884,2,102,25020
885,2,240,57310
886,3,171,40350
887,24,20,4830
888,1,326,77380
889,1,119,28760
890,7,47,10940
891,1,226,54030
892,15,59,14250
893,1,245,58890
894,2,20,4540
895,1,362,85940
896,1,185,45050
897,50,30,7500
898,7,135,32510
899,5,45,10590
900,1,124,29660
901,21,49,11850
902,1,136,32400
903,26,47,10640
904,16,40,9610
905,11,41,9510
906,1,147,35020
907,1,74,18460
908,11,26,6460
909,9,60,13660
910,2,98,23870
911,2,53,12490
912,3,132,30790
913,41,23,5960
914,31,26,6300
915,1,317,76600
916,19,35,8020
917,1,103,23860
918,1,217,51790
919,1,26,5990
920,1,110,26250
921,3,127,29880
922,1,74,17170
923,1,82,19350
924,4,32,7570
925,16,20,4420
926,4,120,29120
927,6,32,7410
928,5,49,11320
929,2,63,14880
930,1,61,13670
931,5,241,56760
932,1,184,45660
933,2,174,42050
934,12,39,9420
935,1,142,34040
936,3,40,9260
937,3,108,26520
938,6,49,11360
939,1,107,25380
940,32,22,5610
941,3,79,18350
942,5,168,39760
