user_id,Recency,Frequency,MonetaryValue,R_Quartile,F_Quartile,M_Quartile,RFMClass,RFM_Score,Customer Segment
93,1,400,97310,4,4,4,444,12,Most Loyal Customer
94,4,278,66940,2,4,4,244,10,Most Loyal Customer
95,3,56,13540,3,2,2,322,7,Loyal Customers
96,2,63,15280,3,2,2,322,7,Loyal Customers
97,8,27,7020,2,1,1,211,4,Lost Customers
98,1,136,32600,4,3,3,433,10,Most Loyal Customer
99,8,59,14600,2,2,2,222,6,Loyal Customers
100,3,67,14970,3,3,2,332,8,Loyal Customers
101,1,216,52430,4,4,4,444,12,Most Loyal Customer
102,11,29,7160,1,1,1,111,3,Lost Customers
103,1,111,26730,4,3,3,433,10,Most Loyal Customer
104,6,23,5650,2,1,1,211,4,Lost Customers
105,5,64,15490,2,2,2,222,6,Loyal Customers
106,58,22,5340,1,1,1,111,3,Lost Customers
107,3,33,8030,3,1,2,312,6,Potential Loyalists Customers
108,1,234,56080,4,4,4,444,12,Most Loyal Customer
109,1,133,31280,4,3,3,433,10,Most Loyal Customer
110,8,24,5950,2,1,1,211,4,Lost Customers
111,4,46,11140,2,2,2,222,6,Loyal Customers
112,2,51,11870,3,2,2,322,7,Loyal Customers
113,4,48,11790,2,2,2,222,6,Loyal Customers
114,3,92,21830,3,3,3,333,9,Most Loyal Customer
115,1,143,34760,4,3,3,433,10,Most Loyal Customer
116,1,86,20190,4,3,3,433,10,Most Loyal Customer
117,1,71,17110,4,3,3,433,10,Most Loyal Customer
118,1,181,44170,4,4,4,444,12,Most Loyal Customer
119,10,26,6580,1,1,1,111,3,Lost Customers
120,3,74,17550,3,3,3,333,9,Most Loyal Customer
121,1,61,14250,4,2,2,422,8,Loyal Customers
122,9,54,13120,1,2,2,122,5,Attention Needed Customers
123,1,24,5600,4,1,1,411,6,Potential Loyalists Customers
124,3,182,43720,3,4,4,344,11,Most Loyal Customer
125,6,45,10820,2,2,2,222,6,Loyal Customers
126,19,23,5290,1,1,1,111,3,Lost Customers
127,1,184,44560,4,4,4,444,12,Most Loyal Customer
128,26,30,7500,1,1,1,111,3,Lost Customers
129,1,353,85750,4,4,4,444,12,Most Loyal Customer
130,2,30,7310,3,1,1,311,5,Potential Loyalists Customers
131,20,22,5440,1,1,1,111,3,Lost Customers
132,8,26,6500,2,1,1,211,4,Lost Customers
133,1,25,6190,4,1,1,411,6,Potential Loyalists Customers
134,3,55,12950,3,2,2,322,7,Loyal Customers
135,7,35,8330,2,2,2,222,6,Loyal Customers
136,9,47,11580,1,2,2,122,5,Attention Needed Customers
137,17,51,12790,1,2,2,122,5,Attention Needed Customers
138,8,24,5790,2,1,1,211,4,Lost Customers
139,6,21,5010,2,1,1,211,4,Lost Customers
140,1,107,24780,4,3,3,433,10,Most Loyal Customer
141,8,33,7810,2,1,2,212,5,Attention Needed Customers
142,1,20,4820,4,1,1,411,6,Potential Loyalists Customers
143,1,206,49680,4,4,4,444,12,Most Loyal Customer
144,1,316,76690,4,4,4,444,12,Most Loyal Customer
145,13,29,7400,1,1,1,111,3,Lost Customers
146,15,20,4630,1,1,1,111,3,Lost Customers
147,3,65,15120,3,2,2,322,7,Loyal Customers
148,5,36,8960,2,2,2,222,6,Loyal Customers
149,7,32,7740,2,1,1,211,4,Lost Customers
150,1,307,74450,4,4,4,444,12,Most Loyal Customer
151,12,106,25450,1,3,3,133,7,Potential Loyalists Customers
152,39,23,5820,1,1,1,111,3,Lost Customers
153,5,51,11730,2,2,2,222,6,Loyal Customers
154,35,22,4950,1,1,1,111,3,Lost Customers
155,4,37,8720,2,2,2,222,6,Loyal Customers
156,11,51,12280,1,2,2,122,5,Attention Needed Customers
157,2,173,42410,3,4,4,344,11,Most Loyal Customer
158,1,107,25570,4,3,3,433,10,Most Loyal Customer
159,1,120,28360,4,3,3,433,10,Most Loyal Customer
160,4,58,13210,2,2,2,222,6,Loyal Customers
161,4,42,10220,2,2,2,222,6,Loyal Customers
162,6,23,5500,2,1,1,211,4,Lost Customers
163,3,63,15100,3,2,2,322,7,Loyal Customers
164,1,30,6880,4,1,1,411,6,Potential Loyalists Customers
165,4,20,4900,2,1,1,211,4,Lost Customers
166,1,69,16790,4,3,3,433,10,Most Loyal Customer
167,3,69,16900,3,3,3,333,9,Most Loyal Customer
168,14,37,8890,1,2,2,122,5,Attention Needed Customers
169,24,22,4640,1,1,1,111,3,Lost Customers
170,1,28,6900,4,1,1,411,6,Potential Loyalists Customers
171,31,27,6890,1,1,1,111,3,Lost Customers
172,3,43,10210,3,2,2,322,7,Loyal Customers
173,2,177,42460,3,4,4,344,11,Most Loyal Customer
174,10,38,8490,1,2,2,122,5,Attention Needed Customers
175,1,63,15750,4,2,3,423,9,Most Loyal Customer
176,3,115,28070,3,3,3,333,9,Most Loyal Customer
177,2,273,65150,3,4,4,344,11,Most Loyal Customer
178,1,42,9950,4,2,2,422,8,Loyal Customers
179,5,63,15070,2,2,2,222,6,Loyal Customers
180,1,435,105500,4,4,4,444,12,Most Loyal Customer
181,58,28,6730,1,1,1,111,3,Lost Customers
182,13,53,12510,1,2,2,122,5,Attention Needed Customers
183,1,251,60980,4,4,4,444,12,Most Loyal Customer
184,10,48,11940,1,2,2,122,5,Attention Needed Customers
185,3,92,22940,3,3,3,333,9,Most Loyal Customer
186,5,56,13030,2,2,2,222,6,Loyal Customers
187,1,112,27470,4,3,3,433,10,Most Loyal Customer
188,2,187,45480,3,4,4,344,11,Most Loyal Customer
189,11,59,13970,1,2,2,122,5,Attention Needed Customers
190,3,27,6650,3,1,1,311,5,Potential Loyalists Customers
191,1,35,7920,4,2,2,422,8,Loyal Customers
192,1,121,28050,4,3,3,433,10,Most Loyal Customer
193,1,305,73790,4,4,4,444,12,Most Loyal Customer
194,7,96,22700,2,3,3,233,8,Loyal Customers
195,11,39,8880,1,2,2,122,5,Attention Needed Customers
196,3,118,28750,3,3,3,333,9,Most Loyal Customer
197,3,181,43840,3,4,4,344,11,Most Loyal Customer
198,37,40,9720,1,2,2,122,5,Attention Needed Customers
199,5,216,51440,2,4,4,244,10,Most Loyal Customer
200,2,386,92100,3,4,4,344,11,Most Loyal Customer
201,54,20,5220,1,1,1,111,3,Lost Customers
202,7,43,10300,2,2,2,222,6,Loyal Customers
203,4,42,9540,2,2,2,222,6,Loyal Customers
204,19,22,5460,1,1,1,111,3,Lost Customers
205,7,64,15480,2,2,2,222,6,Loyal Customers
206,1,230,55450,4,4,4,444,12,Most Loyal Customer
207,10,33,7700,1,1,1,111,3,Lost Customers
208,8,33,7660,2,1,1,211,4,Lost Customers
209,1,132,31540,4,3,3,433,10,Most Loyal Customer
210,11,37,8750,1,2,2,122,5,Attention Needed Customers
211,6,25,6140,2,1,1,211,4,Lost Customers
212,1,126,30140,4,3,3,433,10,Most Loyal Customer
213,5,128,31410,2,3,3,233,8,Loyal Customers
214,1,93,22880,4,3,3,433,10,Most Loyal Customer
215,1,131,31410,4,3,3,433,10,Most Loyal Customer
216,3,76,17830,3,3,3,333,9,Most Loyal Customer
217,8,53,13370,2,2,2,222,6,Loyal Customers
218,18,28,7070,1,1,1,111,3,Lost Customers
219,1,22,5030,4,1,1,411,6,Potential Loyalists Customers
220,2,146,34570,3,3,3,333,9,Most Loyal Customer
221,1,387,92380,4,4,4,444,12,Most Loyal Customer
222,2,105,25010,3,3,3,333,9,Most Loyal Customer
223,1,141,34290,4,3,3,433,10,Most Loyal Customer
224,27,27,6490,1,1,1,111,3,Lost Customers
225,24,50,12020,1,2,2,122,5,Attention Needed Customers
226,2,58,14220,3,2,2,322,7,Loyal Customers
227,22,21,4800,1,1,1,111,3,Lost Customers
228,3,30,7000,3,1,1,311,5,Potential Loyalists Customers
229,1,133,31180,4,3,3,433,10,Most Loyal Customer
230,4,21,5000,2,1,1,211,4,Lost Customers
231,7,93,22700,2,3,3,233,8,Loyal Customers
232,14,110,26760,1,3,3,133,7,Potential Loyalists Customers
233,1,480,114710,4,4,4,444,12,Most Loyal Customer
234,1,94,22950,4,3,3,433,10,Most Loyal Customer
235,4,124,30010,2,3,3,233,8,Loyal Customers
236,1,48,11360,4,2,2,422,8,Loyal Customers
237,49,29,6880,1,1,1,111,3,Lost Customers
238,3,159,39100,3,4,4,344,11,Most Loyal Customer
239,9,24,5650,1,1,1,111,3,Lost Customers
240,28,23,6070,1,1,1,111,3,Lost Customers
241,1,20,4630,4,1,1,411,6,Potential Loyalists Customers
242,2,81,20050,3,3,3,333,9,Most Loyal Customer
243,1,238,56510,4,4,4,444,12,Most Loyal Customer
244,19,22,5480,1,1,1,111,3,Lost Customers
245,1,195,46930,4,4,4,444,12,Most Loyal Customer
246,15,26,6240,1,1,1,111,3,Lost Customers
247,4,56,13450,2,2,2,222,6,Loyal Customers
248,1,161,38590,4,4,4,444,12,Most Loyal Customer
249,7,122,28910,2,3,3,233,8,Loyal Customers
250,3,77,18820,3,3,3,333,9,Most Loyal Customer
251,22,21,5280,1,1,1,111,3,Lost Customers
252,14,97,22830,1,3,3,133,7,Potential Loyalists Customers
253,1,159,37560,4,4,4,444,12,Most Loyal Customer
254,2,83,20590,3,3,3,333,9,Most Loyal Customer
255,1,207,51130,4,4,4,444,12,Most Loyal Customer
256,6,57,13790,2,2,2,222,6,Loyal Customers
257,5,23,5440,2,1,1,211,4,Lost Customers
258,2,46,11150,3,2,2,322,7,Loyal Customers
259,10,24,5870,1,1,1,111,3,Lost Customers
260,3,27,6470,3,1,1,311,5,Potential Loyalists Customers
261,4,160,38530,2,4,4,244,10,Most Loyal Customer
262,2,123,29840,3,3,3,333,9,Most Loyal Customer
263,1,120,28950,4,3,3,433,10,Most Loyal Customer
264,1,46,10840,4,2,2,422,8,Loyal Customers
265,8,23,5310,2,1,1,211,4,Lost Customers
266,1,185,45090,4,4,4,444,12,Most Loyal Customer
267,7,328,78800,2,4,4,244,10,Most Loyal Customer
268,1,323,77540,4,4,4,444,12,Most Loyal Customer
269,1,138,33500,4,3,3,433,10,Most Loyal Customer
270,1,278,66600,4,4,4,444,12,Most Loyal Customer
271,8,51,12100,2,2,2,222,6,Loyal Customers
272,18,22,5210,1,1,1,111,3,Lost Customers
273,5,71,17080,2,3,3,233,8,Loyal Customers
274,1,95,22060,4,3,3,433,10,Most Loyal Customer
275,1,518,125150,4,4,4,444,12,Most Loyal Customer
276,1,54,12900,4,2,2,422,8,Loyal Customers
277,47,23,5760,1,1,1,111,3,Lost Customers
278,1,434,103240,4,4,4,444,12,Most Loyal Customer
279,1,258,62290,4,4,4,444,12,Most Loyal Customer
280,25,26,6570,1,1,1,111,3,Lost Customers
281,30,22,5330,1,1,1,111,3,Lost Customers
282,2,53,13090,3,2,2,322,7,Loyal Customers
283,9,47,11670,1,2,2,122,5,Attention Needed Customers
284,33,32,7730,1,1,1,111,3,Lost Customers
285,1,288,69270,4,4,4,444,12,Most Loyal Customer
286,1,62,14780,4,2,2,422,8,Loyal Customers
287,5,75,18070,2,3,3,233,8,Loyal Customers
288,5,27,6530,2,1,1,211,4,Lost Customers
289,6,150,36000,2,4,4,244,10,Most Loyal Customer
290,1,296,71170,4,4,4,444,12,Most Loyal Customer
291,3,124,29270,3,3,3,333,9,Most Loyal Customer
292,1,388,93520,4,4,4,444,12,Most Loyal Customer
293,1,150,36020,4,4,4,444,12,Most Loyal Customer
294,1,196,46840,4,4,4,444,12,Most Loyal Customer
295,2,147,34750,3,3,3,333,9,Most Loyal Customer
296,3,192,46120,3,4,4,344,11,Most Loyal Customer
297,1,127,30020,4,3,3,433,10,Most Loyal Customer
298,1,280,68740,4,4,4,444,12,Most Loyal Customer
299,19,20,5020,1,1,1,111,3,Lost Customers
300,1,275,66240,4,4,4,444,12,Most Loyal Customer
301,40,21,5290,1,1,1,111,3,Lost Customers
302,1,484,117620,4,4,4,444,12,Most Loyal Customer
303,1,26,6090,4,1,1,411,6,Potential Loyalists Customers
304,1,222,53800,4,4,4,444,12,Most Loyal Customer
305,21,32,7610,1,1,1,111,3,Lost Customers
306,3,112,26560,3,3,3,333,9,Most Loyal Customer
307,1,397,95910,4,4,4,444,12,Most Loyal Customer
308,5,20,4830,2,1,1,211,4,Lost Customers
309,44,21,5400,1,1,1,111,3,Lost Customers
310,1,294,72860,4,4,4,444,12,Most Loyal Customer
311,1,223,51870,4,4,4,444,12,Most Loyal Customer
312,1,262,62740,4,4,4,444,12,Most Loyal Customer
313,1,245,59530,4,4,4,444,12,Most Loyal Customer
314,1,87,21130,4,3,3,433,10,Most Loyal Customer
315,1,75,17900,4,3,3,433,10,Most Loyal Customer
316,1,22,5060,4,1,1,411,6,Potential Loyalists Customers
317,1,174,41540,4,4,4,444,12,Most Loyal Customer
318,57,23,5790,1,1,1,111,3,Lost Customers
319,1,154,37610,4,4,4,444,12,Most Loyal Customer
320,1,125,30260,4,3,3,433,10,Most Loyal Customer
321,7,51,12290,2,2,2,222,6,Loyal Customers
322,3,89,21510,3,3,3,333,9,Most Loyal Customer
323,19,66,17310,1,3,3,133,7,Potential Loyalists Customers
324,8,142,34310,2,3,3,233,8,Loyal Customers
325,1,187,45650,4,4,4,444,12,Most Loyal Customer
326,3,284,70040,3,4,4,344,11,Most Loyal Customer
327,1,283,67650,4,4,4,444,12,Most Loyal Customer
328,1,65,15590,4,2,2,422,8,Loyal Customers
329,1,147,34440,4,3,3,433,10,Most Loyal Customer
330,2,70,17250,3,3,3,333,9,Most Loyal Customer
331,3,183,45640,3,4,4,344,11,Most Loyal Customer
332,1,26,5970,4,1,1,411,6,Potential Loyalists Customers
333,1,333,79230,4,4,4,444,12,Most Loyal Customer
334,2,22,5020,3,1,1,311,5,Potential Loyalists Customers
335,3,130,31090,3,3,3,333,9,Most Loyal Customer
336,17,34,8230,1,2,2,122,5,Attention Needed Customers
337,4,75,18600,2,3,3,233,8,Loyal Customers
338,1,254,60240,4,4,4,444,12,Most Loyal Customer
339,1,44,10430,4,2,2,422,8,Loyal Customers
340,8,21,5200,2,1,1,211,4,Lost Customers
341,3,201,47610,3,4,4,344,11,Most Loyal Customer
342,1,237,55480,4,4,4,444,12,Most Loyal Customer
343,1,190,46390,4,4,4,444,12,Most Loyal Customer
344,1,232,56300,4,4,4,444,12,Most Loyal Customer
345,2,193,46300,3,4,4,344,11,Most Loyal Customer
346,1,199,48290,4,4,4,444,12,Most Loyal Customer
347,1,58,14120,4,2,2,422,8,Loyal Customers
348,2,41,10060,3,2,2,322,7,Loyal Customers
349,19,50,12430,1,2,2,122,5,Attention Needed Customers
350,3,44,10430,3,2,2,322,7,Loyal Customers
351,1,42,10180,4,2,2,422,8,Loyal Customers
352,23,25,6120,1,1,1,111,3,Lost Customers
353,3,233,55760,3,4,4,344,11,Most Loyal Customer
354,3,26,6580,3,1,1,311,5,Potential Loyalists Customers
355,15,24,6000,1,1,1,111,3,Lost Customers
356,7,76,17960,2,3,3,233,8,Loyal Customers
357,12,43,10030,1,2,2,122,5,Attention Needed Customers
358,3,27,6460,3,1,1,311,5,Potential Loyalists Customers
359,3,102,23500,3,3,3,333,9,Most Loyal Customer
360,1,121,29810,4,3,3,433,10,Most Loyal Customer
361,12,25,6130,1,1,1,111,3,Lost Customers
362,1,311,74240,4,4,4,444,12,Most Loyal Customer
363,32,20,4630,1,1,1,111,3,Lost Customers
364,4,58,13980,2,2,2,222,6,Loyal Customers
365,24,33,8190,1,1,2,112,4,Almost Lost Customers
366,13,58,13720,1,2,2,122,5,Attention Needed Customers
367,7,45,10660,2,2,2,222,6,Loyal Customers
368,75,22,5760,1,1,1,111,3,Lost Customers
369,7,75,18350,2,3,3,233,8,Loyal Customers
370,22,51,12790,1,2,2,122,5,Attention Needed Customers
371,19,66,16480,1,3,3,133,7,Potential Loyalists Customers
372,2,233,55640,3,4,4,344,11,Most Loyal Customer
373,1,274,65130,4,4,4,444,12,Most Loyal Customer
374,16,28,6630,1,1,1,111,3,Lost Customers
375,1,30,6860,4,1,1,411,6,Potential Loyalists Customers
376,9,33,7690,1,1,1,111,3,Lost Customers
377,1,375,91120,4,4,4,444,12,Most Loyal Customer
378,3,196,47540,3,4,4,344,11,Most Loyal Customer
379,1,162,37920,4,4,4,444,12,Most Loyal Customer
380,5,127,29920,2,3,3,233,8,Loyal Customers
381,2,53,12310,3,2,2,322,7,Loyal Customers
382,1,71,17010,4,3,3,433,10,Most Loyal Customer
383,11,22,5430,1,1,1,111,3,Lost Customers
384,3,281,67660,3,4,4,344,11,Most Loyal Customer
385,14,23,5240,1,1,1,111,3,Lost Customers
386,1,304,72060,4,4,4,444,12,Most Loyal Customer
387,13,52,12710,1,2,2,122,5,Attention Needed Customers
388,1,271,65280,4,4,4,444,12,Most Loyal Customer
389,8,31,7460,2,1,1,211,4,Lost Customers
390,1,121,28320,4,3,3,433,10,Most Loyal Customer
391,5,111,25980,2,3,3,233,8,Loyal Customers
392,1,448,107020,4,4,4,444,12,Most Loyal Customer
393,1,149,36410,4,4,4,444,12,Most Loyal Customer
394,6,57,13500,2,2,2,222,6,Loyal Customers
395,3,54,12640,3,2,2,322,7,Loyal Customers
396,1,102,24350,4,3,3,433,10,Most Loyal Customer
397,1,172,41100,4,4,4,444,12,Most Loyal Customer
398,2,319,76770,3,4,4,344,11,Most Loyal Customer
399,12,22,5000,1,1,1,111,3,Lost Customers
400,2,153,37320,3,4,4,344,11,Most Loyal Customer
401,1,68,15630,4,3,3,433,10,Most Loyal Customer
402,1,50,12190,4,2,2,422,8,Loyal Customers
403,8,44,10290,2,2,2,222,6,Loyal Customers
404,1,737,175990,4,4,4,444,12,Most Loyal Customer
405,1,342,81460,4,4,4,444,12,Most Loyal Customer
406,1,226,54320,4,4,4,444,12,Most Loyal Customer
407,2,27,6820,3,1,1,311,5,Potential Loyalists Customers
408,1,203,48500,4,4,4,444,12,Most Loyal Customer
409,2,28,6760,3,1,1,311,5,Potential Loyalists Customers
410,5,58,13790,2,2,2,222,6,Loyal Customers
411,12,51,11970,1,2,2,122,5,Attention Needed Customers
412,1,50,11770,4,2,2,422,8,Loyal Customers
413,18,25,5860,1,1,1,111,3,Lost Customers
414,2,24,5390,3,1,1,311,5,Potential Loyalists Customers
415,1,493,117410,4,4,4,444,12,Most Loyal Customer
416,1,365,84980,4,4,4,444,12,Most Loyal Customer
417,6,20,4720,2,1,1,211,4,Lost Customers
418,3,32,7560,3,1,1,311,5,Potential Loyalists Customers
419,4,36,9290,2,2,2,222,6,Loyal Customers
420,11,62,15200,1,2,2,122,5,Attention Needed Customers
421,1,97,23030,4,3,3,433,10,Most Loyal Customer
422,9,64,15080,1,2,2,122,5,Attention Needed Customers
423,10,44,10330,1,2,2,122,5,Attention Needed Customers
424,1,204,47900,4,4,4,444,12,Most Loyal Customer
425,4,101,24760,2,3,3,233,8,Loyal Customers
426,6,31,7200,2,1,1,211,4,Lost Customers
427,5,55,13210,2,2,2,222,6,Loyal Customers
428,1,414,99690,4,4,4,444,12,Most Loyal Customer
429,8,65,14910,2,2,2,222,6,Loyal Customers
430,1,21,4870,4,1,1,411,6,Potential Loyalists Customers
431,6,62,14350,2,2,2,222,6,Loyal Customers
432,11,41,9950,1,2,2,122,5,Attention Needed Customers
433,9,44,10390,1,2,2,122,5,Attention Needed Customers
434,1,379,89940,4,4,4,444,12,Most Loyal Customer
435,1,145,35180,4,3,3,433,10,Most Loyal Customer
436,1,263,63420,4,4,4,444,12,Most Loyal Customer
437,5,33,8010,2,1,2,212,5,Attention Needed Customers
438,1,31,7110,4,1,1,411,6,Potential Loyalists Customers
439,10,51,12420,1,2,2,122,5,Attention Needed Customers
440,1,20,5000,4,1,1,411,6,Potential Loyalists Customers
441,1,143,34340,4,3,3,433,10,Most Loyal Customer
442,11,24,5990,1,1,1,111,3,Lost Customers
443,20,24,5880,1,1,1,111,3,Lost Customers
444,4,135,32530,2,3,3,233,8,Loyal Customers
445,1,36,8520,4,2,2,422,8,Loyal Customers
446,1,139,32970,4,3,3,433,10,Most Loyal Customer
447,1,38,8600,4,2,2,422,8,Loyal Customers
448,1,75,17920,4,3,3,433,10,Most Loyal Customer
449,1,540,130310,4,4,4,444,12,Most Loyal Customer
450,6,98,24540,2,3,3,233,8,Loyal Customers
451,3,206,48030,3,4,4,344,11,Most Loyal Customer
452,2,156,36830,3,4,4,344,11,Most Loyal Customer
453,2,236,56280,3,4,4,344,11,Most Loyal Customer
454,3,189,45120,3,4,4,344,11,Most Loyal Customer
455,1,217,52630,4,4,4,444,12,Most Loyal Customer
456,4,277,67760,2,4,4,244,10,Most Loyal Customer
457,2,183,43580,3,4,4,344,11,Most Loyal Customer
458,2,118,28350,3,3,3,333,9,Most Loyal Customer
459,7,68,16570,2,3,3,233,8,Loyal Customers
460,39,23,5510,1,1,1,111,3,Lost Customers
461,12,33,7880,1,1,2,112,4,Almost Lost Customers
462,1,133,32350,4,3,3,433,10,Most Loyal Customer
463,1,53,13130,4,2,2,422,8,Loyal Customers
464,19,80,19330,1,3,3,133,7,Potential Loyalists Customers
465,1,101,24100,4,3,3,433,10,Most Loyal Customer
466,11,44,10530,1,2,2,122,5,Attention Needed Customers
467,1,143,35020,4,3,3,433,10,Most Loyal Customer
468,16,43,9810,1,2,2,122,5,Attention Needed Customers
469,6,57,13420,2,2,2,222,6,Loyal Customers
470,46,31,7490,1,1,1,111,3,Lost Customers
471,1,263,62940,4,4,4,444,12,Most Loyal Customer
472,5,35,8020,2,2,2,222,6,Loyal Customers
473,2,327,79110,3,4,4,344,11,Most Loyal Customer
474,3,20,4610,3,1,1,311,5,Potential Loyalists Customers
475,9,83,20280,1,3,3,133,7,Potential Loyalists Customers
476,2,35,8480,3,2,2,322,7,Loyal Customers
477,2,113,27400,3,3,3,333,9,Most Loyal Customer
478,1,202,48290,4,4,4,444,12,Most Loyal Customer
479,9,60,15540,1,2,2,122,5,Attention Needed Customers
480,4,56,13100,2,2,2,222,6,Loyal Customers
481,23,26,6370,1,1,1,111,3,Lost Customers
482,1,59,14230,4,2,2,422,8,Loyal Customers
483,1,139,33490,4,3,3,433,10,Most Loyal Customer
484,41,26,6630,1,1,1,111,3,Lost Customers
485,1,189,44100,4,4,4,444,12,Most Loyal Customer
486,2,231,56350,3,4,4,344,11,Most Loyal Customer
487,1,154,36810,4,4,4,444,12,Most Loyal Customer
488,4,109,25100,2,3,3,233,8,Loyal Customers
489,3,57,13330,3,2,2,322,7,Loyal Customers
490,4,33,8040,2,1,2,212,5,Attention Needed Customers
491,5,55,13230,2,2,2,222,6,Loyal Customers
