,user_id,Apr-2019,Aug-2019,Dec-2019,Feb-2019,Jan-2019,Jul-2019,Jun-2019,Mar-2019,May-2019,Nov-2019,Oct-2019,Sep-2019,CLV
28,28,1100,730,1000,260,300,240,400,1440,220,430,510,1320,6850
29,29,490,1090,530,1480,1720,840,420,540,730,770,930,440,9490
30,30,540,970,570,1240,490,1240,720,750,250,700,410,560,7900
31,31,1110,500,760,1190,1270,1150,750,940,270,1250,620,510,9210
32,32,990,180,130,290,250,750,740,600,520,440,230,630,4760
33,33,500,0,0,240,640,510,640,270,0,530,780,480,4090
34,34,250,590,350,0,240,230,480,320,1120,520,460,980,5290
35,35,810,240,430,0,650,430,240,860,520,150,200,440,4160
36,36,540,1120,550,2030,1480,950,1310,870,2790,930,940,420,13390
37,37,3350,2810,2040,3080,4100,2500,1710,2320,3020,1650,1750,1070,26050
38,38,820,270,300,1180,570,220,270,220,200,230,250,890,4600
39,39,1070,280,1160,1160,760,490,780,740,520,250,1040,260,7440
40,40,1510,820,1240,980,250,530,1870,840,760,1120,1350,1080,10840
41,41,3970,3040,2440,4240,6300,4950,2820,3290,4100,3200,2940,2940,40260
42,42,2960,4730,2320,4440,7530,3210,3490,6390,4960,4020,4340,4570,50000
43,43,3920,1900,2220,4840,2410,2900,2570,4100,2740,1950,2280,4460,32370
44,44,1700,790,1160,1580,1250,930,1930,580,490,960,0,700,10370
45,45,480,1200,0,230,840,470,740,1030,550,350,500,260,6170
46,46,240,240,700,550,610,1230,710,240,280,150,430,490,5630
47,47,830,1730,430,1190,3530,820,1200,1750,2690,1160,1040,510,16050
48,48,5150,4370,2960,4150,6800,3760,5170,4700,3970,3930,3180,3990,46980
49,49,1330,710,170,0,260,1170,220,270,460,180,0,810,4250
50,50,0,370,450,320,930,470,1120,0,0,910,610,250,5430
51,51,300,1630,1310,1740,1890,690,2120,790,1130,690,1580,0,13570
52,52,710,570,790,580,1180,0,770,500,1010,0,400,220,6020
53,53,1760,1350,760,1680,1440,1460,1580,1500,1990,890,1030,610,14290
54,54,280,410,500,550,260,790,440,220,500,0,300,460,4430
55,55,3920,4410,2410,4190,3250,3160,4790,3380,4560,2750,4470,3240,40610
56,56,1930,2300,1230,3190,2100,1420,2160,1780,3300,1330,2430,2530,23770
57,57,3390,3440,2750,3240,4020,3210,2950,2670,3700,3070,1680,2350,33080
58,58,10560,8580,4780,9300,8240,9050,6340,10690,6120,5350,7510,6290,82250
59,59,5130,3270,4890,6750,4080,3460,4090,4320,3200,4210,2810,4040,45120
60,60,810,260,0,590,640,570,740,590,980,170,0,220,4760
61,61,6170,3700,4670,6030,5330,4990,5520,3780,4450,3220,3430,4390,49510
62,62,1720,2880,880,2320,1060,1860,1680,2560,1990,1900,1290,2110,20530
63,63,3320,4300,2480,4390,4360,4620,4270,5530,4660,3380,3850,3360,45200
64,64,730,2220,1530,1660,260,1420,1860,3040,1880,690,1890,2090,18540
65,65,510,840,180,300,2330,990,1350,0,770,640,1000,270,8670
66,66,0,220,520,300,330,850,970,540,960,290,880,870,6730
67,67,840,420,160,500,590,270,420,1010,890,1320,440,1000,7020
68,68,3000,940,1670,850,1110,1570,1590,1100,1310,1220,530,970,12860
69,69,2310,1400,2330,4810,3930,1430,1430,3930,2570,2450,2120,3000,29400
70,70,0,1350,580,580,620,1520,1400,330,780,250,620,930,8960
71,71,1860,1930,2820,1900,3640,2520,3290,3060,4100,2450,1640,3180,30530
72,72,1560,730,750,880,2360,1910,820,1990,1960,1180,1410,680,14670
73,73,300,1070,810,520,1020,470,980,1640,1310,140,690,680,9330
74,74,2410,1500,1060,920,810,2630,1220,1830,1640,1200,1020,2370,16200
75,75,2300,1280,1100,880,1530,2800,1100,1560,2460,1160,1310,1690,16870
76,76,2690,1610,1140,1410,2470,1510,1080,1680,910,310,1080,1640,14840
77,77,0,470,220,1130,300,470,0,0,550,800,420,780,5140
78,78,1100,670,750,1260,900,2420,270,3010,1520,330,1330,240,12700
79,79,0,1380,170,250,270,890,460,0,980,610,660,750,6420
80,80,1030,910,1050,840,820,1750,1170,1160,2000,690,840,1230,12460
81,81,3930,2600,2300,3990,4590,4040,2260,3310,3870,2240,3930,3660,36790
82,82,4230,3680,2460,3070,4090,2430,2890,3360,3130,3280,2200,1650,32240
83,83,1890,910,1190,1660,1710,920,750,1420,1160,1540,1990,860,14110
84,84,6490,5250,5840,6960,7880,5340,3410,7500,4290,3790,5200,6470,61930
85,85,790,360,460,910,620,200,200,600,470,180,160,390,4550
86,86,7910,3700,3880,4150,4560,3620,3650,5400,4830,3990,2780,2610,43170
87,87,480,1100,620,0,240,0,800,560,550,150,0,390,4410
88,88,1440,1310,710,1450,1510,2740,500,2620,1120,1940,1440,870,16210
89,89,7640,6890,4070,6410,8120,5910,6090,4910,7440,3950,4700,5610,64100
90,90,1840,2340,2400,1930,2940,2300,1450,2020,1270,1350,1550,1400,20950
91,91,7300,9870,5740,8520,8460,6950,9460,8730,8170,4500,7490,7530,85420
92,92,470,180,210,0,340,250,470,820,730,570,190,480,4240
93,93,6060,8730,5550,10560,7690,6900,8070,12800,10940,5510,6370,8130,91250
94,94,3890,6580,2690,7410,7230,7360,6560,4600,5940,5200,5660,3820,63050
95,95,2420,1440,550,620,1090,1190,730,1840,720,1430,1000,510,11120
96,96,1830,1600,1290,2190,1250,1090,1280,1350,850,830,580,1140,13450
97,97,850,560,230,320,930,280,1500,560,850,790,150,0,6170
98,98,3290,3230,2460,2860,4840,1300,2900,3430,2090,1740,2850,1610,29310
99,99,1240,1110,780,1410,1140,1610,1750,1780,1520,790,240,1230,13360
100,100,1810,1080,720,240,1450,730,2610,1040,1580,1220,1670,820,13160
101,101,5360,4940,3020,5960,5500,4270,3660,4500,4500,3440,2970,4310,47070
102,102,1030,630,190,770,560,200,820,1480,0,380,400,700,6130
103,103,1900,2210,1880,2510,2560,2360,2010,3340,2920,1660,2150,1230,24830
104,104,590,680,330,920,650,620,560,230,210,670,0,190,5060
105,105,1290,930,1090,1640,1260,1520,1220,1090,1840,1620,460,1530,14200
106,106,790,590,0,1070,630,200,300,0,460,230,450,620,4550
107,107,930,470,290,870,850,0,760,330,830,710,820,1170,7100
108,108,5650,3260,2870,3300,8070,4350,5270,6370,4610,3440,2970,5920,50430
109,109,1730,3030,2850,2470,4080,2670,1890,3290,1890,1830,1990,3560,29550
110,110,1350,410,190,330,330,730,560,0,850,390,810,0,4600
111,111,880,170,550,540,1980,760,530,1410,1000,660,870,1790,10260
112,112,940,1450,1020,260,570,1390,1030,1340,530,600,1070,1670,10930
113,113,1650,210,1040,1420,850,780,1090,930,740,1500,670,910,10140
114,114,1610,2160,1840,1910,1990,1310,2010,1630,1020,2890,810,2650,20220
115,115,2590,1790,3310,4330,3720,3190,3540,2080,2220,2630,1450,3910,32170
116,116,3250,1900,2500,1170,1460,1090,950,2340,920,1250,850,2510,16940
117,117,1550,2870,750,1930,1200,2140,1060,1510,1180,1110,880,930,15560
118,118,4230,4840,2790,5170,3450,4400,3620,3920,3260,1470,3750,3270,39940
119,119,480,280,200,1150,610,490,690,1260,530,640,0,250,6100
120,120,1520,1550,1210,800,2940,1290,1780,1340,1310,850,1790,1170,16030
121,121,1580,1670,1500,740,1490,950,1030,880,1490,1170,1050,700,12670
122,122,1780,270,820,1160,920,1480,1310,1730,1040,570,1440,600,11340
123,123,490,210,780,580,880,0,520,0,270,780,640,450,5110
124,124,2970,3760,2230,5050,3880,4120,3940,5550,3280,2390,1480,5070,40750
125,125,1710,460,1030,1400,1150,1030,300,1140,210,910,1090,390,9110
126,126,1000,250,360,300,350,630,520,300,450,0,620,510,4290
127,127,4670,3250,2320,3330,4050,2840,3750,5510,4450,3290,3310,3790,39890
128,128,800,470,210,580,890,960,490,550,580,850,350,770,6700
129,129,8770,6270,4630,8930,9520,7330,8420,6940,9580,5610,5630,4120,76980
130,130,240,490,540,330,2150,200,1240,0,430,240,1090,360,7070
131,131,0,240,210,1170,520,680,250,260,730,710,0,670,5440
132,132,1730,260,420,0,1180,230,290,580,500,210,260,840,4770
133,133,730,740,370,910,0,530,0,1000,1050,190,410,260,5460
134,134,2170,970,1000,340,830,1460,1220,800,980,1540,1000,640,10780
135,135,240,830,430,750,1490,1130,770,570,840,370,910,0,8090
136,136,1500,460,540,1190,1190,210,950,2180,1090,200,980,1090,10080
137,137,1520,840,520,820,2120,1610,1050,920,830,850,1010,700,11270
138,138,790,370,300,510,620,200,1080,1330,240,200,150,0,5000
139,139,0,200,410,330,1460,480,0,580,450,140,960,0,5010
140,140,830,2490,2710,2220,2930,1340,2240,1210,2390,2250,2250,1920,23950
141,141,0,400,570,1520,940,1000,280,0,200,1050,620,1230,7810
142,142,540,0,350,240,890,490,0,220,800,0,880,410,4280
143,143,5870,4230,4190,2460,6020,3070,3320,4690,4800,2510,3500,5020,43810
144,144,6110,6320,3930,7770,8640,8260,7690,8800,5250,4290,4390,5240,70580
145,145,1690,0,360,310,960,260,0,770,1070,450,830,700,5710
146,146,580,870,440,530,630,270,470,0,220,430,190,0,4050
147,147,250,200,1280,2220,2070,2470,520,790,2170,1010,1040,1100,14870
148,148,1660,480,380,1430,980,240,420,440,830,620,720,760,7300
149,149,500,490,760,1760,250,490,710,800,560,650,590,180,7240
150,150,6560,6760,4120,6420,10220,5450,5690,6720,6740,4840,5530,5400,67890
151,151,2820,1750,1330,2970,1470,1650,2180,2970,2380,1250,2670,2010,22630
152,152,470,510,0,310,320,220,230,880,1040,660,480,700,5350
153,153,710,690,950,610,1610,2130,1120,980,630,980,550,770,11020
154,154,510,420,0,240,260,910,220,530,940,580,340,0,4440
155,155,240,210,910,230,520,1220,750,880,620,1160,1310,670,8480
156,156,260,400,660,1700,1460,1310,1450,880,790,1120,1330,920,12020
157,157,4480,3110,2800,6050,5160,3380,2690,4300,3310,2720,2120,2290,37930
158,158,1610,1500,1330,2580,2910,2960,3540,3470,2510,520,2040,600,23960
159,159,2560,2990,1270,2760,3340,1970,2480,1780,1880,2570,2320,2440,25800
160,160,810,1780,1030,790,1700,660,1390,1360,720,1180,1550,240,12400
161,161,640,1050,840,950,2100,440,1930,0,520,390,380,980,9580
162,162,0,660,770,880,960,420,220,310,510,390,0,380,5500
163,163,1290,1450,1390,1200,1710,1850,1080,820,970,430,1140,1770,13810
164,164,790,390,350,960,740,700,860,320,0,530,1060,180,6090
165,165,220,550,140,0,610,480,200,560,1080,200,600,260,4680
166,166,880,720,940,1880,2580,950,1960,2670,480,1770,920,1040,15910
167,167,2270,1130,1070,2880,1240,1540,1030,1280,1300,1130,1830,200,14630
168,168,1200,0,150,560,1130,870,290,780,1480,900,470,1060,7690
169,169,220,440,540,0,0,690,480,280,680,380,580,350,4420
170,170,480,500,630,0,970,680,1010,860,740,1030,0,0,6420
171,171,910,970,0,310,1370,450,790,540,520,380,220,430,5980
172,172,710,1060,480,630,1780,720,1590,770,0,530,1290,650,9500
173,173,3050,4320,2330,3350,5310,3120,3360,4740,2960,3330,2970,3620,39410
174,174,690,380,940,270,0,450,480,1420,630,830,1760,640,7800
175,175,2750,1590,400,1150,2320,1700,930,510,1370,1010,1130,890,13000
176,176,1890,2470,670,1440,4150,2680,1700,4320,3400,730,2260,2360,26180
177,177,5050,3040,5390,7330,8900,5920,4000,5300,5480,4390,4420,5930,60100
178,178,1100,480,820,1170,910,870,1600,810,440,540,330,880,8850
179,179,270,850,1260,1060,2690,1180,1620,800,1510,1310,800,1720,14800
180,180,8660,9710,7170,8840,11300,8850,11200,9960,9730,6320,7640,6120,96840
181,181,1290,1150,0,530,850,850,780,0,510,180,400,190,5440
182,182,770,960,800,1350,580,1280,250,1350,690,1540,1770,1170,11740
183,183,7310,3270,3160,3950,6420,6140,6140,7350,5660,3290,2200,6090,53670
184,184,1110,1100,560,760,1880,240,1190,1110,1150,870,550,1420,10830
185,185,3500,1960,1500,2870,2930,890,1900,1870,1690,1010,860,1960,19440
186,186,1260,740,380,850,630,660,300,1430,1620,1460,1770,1930,11770
187,187,4480,1890,1870,2860,2100,3290,1310,2970,1650,1440,1560,2050,22990
188,188,4640,3030,1990,5130,5800,3230,3340,4800,4080,2590,3640,3210,40840
189,189,970,690,570,1370,1750,1160,900,730,1000,1070,2250,1510,13000
190,190,580,220,1020,650,850,0,430,1160,920,200,240,380,6070
191,191,250,430,300,1680,660,0,500,240,1190,910,320,1440,7670
192,192,540,1940,2430,1600,3480,2910,1750,2780,3540,2940,2740,1400,27510
193,193,6290,5050,5010,6600,10000,5940,6970,7380,6010,3330,6160,5050,67500
194,194,2110,1760,1140,2040,1100,2850,960,3030,1130,1680,1730,3170,20590
195,195,530,810,640,1370,260,550,1150,740,580,1150,460,640,8350
196,196,1160,2420,1350,3420,3210,2060,4230,2830,3330,1240,1390,2110,27590
197,197,3420,2970,2260,4190,6450,2360,4190,3500,3900,2940,3830,3830,40420
198,198,240,950,0,570,960,1540,870,940,1710,360,650,930,9480
199,199,4540,5800,2420,4120,4760,5320,5070,6150,2920,4340,2490,3510,46900
200,200,6830,6380,5460,9370,8650,6730,7600,11500,7300,5570,7220,9490,85270
201,201,500,190,0,1200,660,690,280,540,220,240,440,260,4720
202,202,460,970,150,640,580,1690,240,1360,1850,1080,750,530,9840
203,203,300,410,520,310,790,1400,1640,850,850,650,1490,330,9240
204,204,630,740,220,540,0,0,880,550,790,140,200,770,4830
205,205,1610,2530,440,1630,1520,1830,1190,1010,970,1010,170,1570,13870
206,206,5690,3810,3160,8240,5660,4340,4860,3980,5420,4490,3760,2040,49760
207,207,1000,480,740,610,0,720,900,690,540,560,710,750,6700
208,208,450,1020,740,1400,0,580,230,310,780,900,640,610,7210
209,209,4830,2660,2090,2230,1830,2070,1710,2450,4440,2300,2590,2340,26710
210,210,450,520,230,980,1140,1430,250,1350,500,490,570,840,8300
211,211,450,400,200,600,570,830,490,810,1080,0,510,200,5690
212,212,2070,2220,1900,3850,2760,2310,2420,3320,2020,2730,1840,2700,28070
213,213,3260,2380,1460,2890,5630,2720,2670,2690,3050,1250,2580,830,28150
214,214,3030,1800,1370,3140,1620,1420,930,3260,1910,1180,1770,1450,19850
215,215,2930,3490,940,2730,2310,3270,2700,3840,3700,2720,1290,1490,28480
216,216,1730,1420,2450,1510,2300,1350,2370,1630,1540,920,440,170,16100
217,217,1280,420,1160,1930,2360,1090,0,1240,1620,460,850,960,12090
218,218,580,490,190,270,950,1210,1060,660,420,360,0,880,6490
219,219,0,0,580,230,850,560,520,310,410,0,1210,360,5030
220,220,2370,2020,2290,2600,3310,4070,2300,2150,4250,2390,1780,5040,32200
221,221,10060,5430,6280,11480,7970,6790,9090,6100,6060,7900,7520,7700,82320
222,222,1560,2980,1940,2200,3350,1850,1450,990,3480,2230,1310,1670,23450
223,223,3110,2300,1810,3400,2370,4890,1530,4410,4030,1730,3230,1480,31180
224,224,590,230,420,830,310,990,450,840,0,790,590,450,5900
225,225,1080,450,200,760,1430,2870,1240,1440,440,740,920,450,10940
226,226,510,1430,1060,2730,1240,1080,1570,2230,240,840,690,600,13710
227,227,280,1110,560,290,320,180,490,280,550,360,380,0,4520
228,228,300,0,1030,860,930,0,590,810,530,590,530,830,6700
229,229,1750,4400,2520,3680,1510,2710,1880,2840,2940,3140,1400,2410,29430
230,230,0,0,220,0,0,440,280,930,860,520,1140,610,5000
231,231,2550,2160,1330,1680,810,900,1550,2720,3340,1150,2310,2200,20150
232,232,3540,3130,870,1400,1610,2110,1960,3040,2320,2370,2020,2390,23220
233,233,8570,8110,7390,9700,15240,9890,12070,9770,10290,8020,7290,8370,106140
234,234,1620,1680,3070,1740,3080,1170,1680,2510,1680,2090,1250,1380,21330
235,235,2930,1590,2310,2270,2320,3680,3240,3120,2580,1870,2490,1610,27080
236,236,1310,890,930,850,610,1690,750,1090,1920,680,0,640,10050
237,237,230,0,0,920,0,680,720,1460,640,430,990,810,6650
238,238,4000,2600,1640,4430,2650,2550,4190,4410,4990,1750,2570,3320,35100
239,239,780,460,400,280,340,0,490,260,1410,140,880,210,4870
240,240,560,260,150,230,980,250,1040,840,1070,0,0,690,5510
241,241,510,230,180,320,0,720,300,460,460,410,260,780,4120
242,242,500,1300,960,3020,2090,1740,1840,2740,1200,1910,2010,740,19550
243,243,3420,5160,4090,5470,4840,5170,4050,6430,3520,5410,5410,3540,53090
244,244,530,190,240,600,650,520,1460,0,470,350,0,470,4950
245,245,2950,3260,3690,3780,5760,4640,3220,5930,3320,2550,4190,3640,43980
246,246,610,800,390,860,520,190,260,620,810,0,450,730,5630
247,247,1920,980,580,500,1150,2580,1190,1120,510,950,610,1360,11530
248,248,2310,1730,3600,3460,4490,2790,4110,2940,4540,3000,2590,3030,36280
249,249,2570,2500,1760,2250,2960,2040,2990,2490,2320,2550,1820,2660,26340
250,250,1700,1190,1680,2260,2380,650,1440,2010,2200,1280,840,1190,17120
251,251,870,270,360,0,310,880,560,820,590,440,180,0,4410
252,252,2630,2130,2190,2060,1770,2360,1150,2410,2160,1040,1350,1580,20200
253,253,3880,2910,1780,4140,4540,3570,2880,1060,3140,2950,4090,2620,33680
254,254,2260,640,1140,1760,2420,2220,1320,2810,2300,810,1220,1690,18330
255,255,3900,4150,3120,2960,8050,3150,6080,5550,5180,3340,2830,2820,47230
256,256,1400,860,530,270,2370,1160,1010,860,1500,1240,580,2010,12390
257,257,1010,260,600,650,300,570,720,290,200,0,840,0,4430
258,258,1430,260,550,1780,540,640,870,550,1730,170,1540,1090,9720
259,259,610,950,730,530,600,290,300,790,500,420,150,0,5260
260,260,520,450,360,830,350,730,510,310,540,660,720,490,5950
261,261,4680,4390,2390,2840,3690,2510,5490,3040,3820,1260,2300,2120,33850
262,262,4200,2410,2460,3470,2830,1690,2620,2310,1900,1990,2190,1770,25640
263,263,2060,670,2580,2740,2130,1510,4030,3900,1590,2880,2030,2830,26890
264,264,1250,630,880,1080,540,460,1560,550,1490,880,890,630,9590
265,265,220,690,420,910,0,480,270,470,420,180,1060,190,5090
266,266,3400,3180,3180,5260,3500,3480,4550,5510,5240,3400,1410,2980,41690
267,267,4620,7180,2280,7430,9920,8310,3830,8610,10040,6700,5330,4550,74180
268,268,7250,5970,4620,6240,7200,7290,6910,7750,7870,5140,5280,6020,70290
269,269,2810,3880,2140,2260,3920,2600,4390,4100,2590,1060,1740,2010,30690
270,270,5990,4070,4230,5780,8900,6410,4050,7560,6150,3850,5230,4380,60610
271,271,800,360,870,1380,880,640,1300,1590,1970,590,1160,560,11300
272,272,0,260,620,290,880,460,690,520,810,0,500,180,5210
273,273,1640,1450,1740,1900,1900,1350,790,2010,1130,1150,640,1380,15440
274,274,1880,2270,1310,2170,1150,2330,1930,1030,2690,2040,1710,1550,20180
275,275,9960,7490,8070,12090,18270,11860,8950,10790,11940,8960,7740,9030,115190
276,276,480,870,210,610,2600,440,410,2060,1570,1420,1610,620,12420
277,277,0,610,0,540,1220,260,500,550,850,610,390,230,5760
278,278,9100,8040,6120,10700,10180,8600,10490,9250,9060,6440,8230,7030,94140
279,279,6480,5460,5320,4910,8010,3550,4600,6360,5350,4410,3500,4340,55810
280,280,1110,0,210,870,690,720,0,0,770,250,1260,690,5460
281,281,210,900,0,590,0,250,390,890,790,450,420,440,5120
282,282,470,1010,1160,1260,2170,690,1320,1070,750,900,920,1370,12620
283,283,1070,1150,720,1100,1830,1140,690,1160,1120,840,440,410,10600
284,284,250,0,0,590,590,1170,1130,0,1320,830,640,1210,7480
285,285,7630,8320,2870,6770,7930,7580,3150,4600,6410,4470,4030,5510,61640
286,286,1930,1160,1120,1110,1650,710,1950,1050,980,1670,740,710,12850
287,287,3090,1240,1510,1980,1210,1180,510,2380,990,800,1910,1270,14980
288,288,280,730,880,840,1170,770,690,270,200,540,160,0,6250
289,289,2440,3240,2350,3360,5000,3170,1170,3550,3670,1810,3240,3000,33560
290,290,5870,5620,5390,7980,8330,5930,4500,7040,6710,5590,4270,3940,65300
291,291,1590,2490,1600,2340,3700,3350,2110,2260,3580,1520,2470,2260,27680
292,292,10310,7780,5380,10070,8080,7540,9650,8870,5580,6470,6770,7020,83210
293,293,3200,2260,2870,3690,3500,3760,1810,2800,4520,2020,2260,3330,32820
294,294,3830,4000,3070,3220,5370,4100,4450,5470,3180,2900,4170,3080,43010
295,295,3720,4550,2180,1590,1950,3670,3120,2300,4860,2330,2680,1800,31030
296,296,4690,4080,2210,5580,4010,2290,4520,5670,4510,3740,2640,2180,41430
297,297,2050,3920,2000,1730,4330,3180,1460,3270,2440,1980,1060,2600,27970
298,298,5190,7130,3570,5930,8340,4110,5450,8040,8610,3500,4460,4410,63550
299,299,730,540,290,520,590,0,480,570,870,0,170,260,4290
300,300,6240,5230,4200,7010,5610,5710,6950,5690,4920,4910,5000,4770,60000
301,301,480,280,0,930,920,230,430,0,1090,340,430,160,4810
302,302,9820,9010,7010,12780,9930,11590,8560,13710,11950,8190,7910,7160,107800
303,303,0,180,780,840,870,190,540,590,490,1000,0,610,6090
304,304,6560,3430,3860,4340,5550,3900,4870,6660,2690,3560,3810,4570,47240
305,305,1220,420,600,0,630,1760,790,490,790,180,250,480,6390
306,306,1890,2590,1390,2690,1440,2750,2190,2480,3370,2710,1990,1070,24670
307,307,7990,6680,6780,9380,12880,7870,7450,8970,7000,6410,9160,5340,87920
308,308,250,550,810,520,0,570,280,840,200,360,220,230,4580
309,309,520,260,0,810,580,480,0,540,1130,430,260,390,4880
310,310,7150,7600,3590,6520,9270,6450,5600,6900,6280,2730,3950,6820,65710
311,311,3800,4830,4020,5630,6010,4060,3940,3970,3370,4540,5140,2560,48070
312,312,4780,4040,5040,6970,7610,3460,6890,4630,5320,4720,5050,4230,57960
313,313,3600,5720,4030,6230,7100,6000,5300,5800,3860,4050,3270,4570,55930
314,314,1260,1610,1230,1900,1810,2490,1240,2270,2200,1820,2080,1220,19870
315,315,2170,680,1590,1470,1430,700,1670,2350,1880,1280,1900,780,15730
316,316,1230,430,750,0,580,560,0,0,240,0,890,380,3830
317,317,2160,3810,2350,3740,3320,4990,3530,5850,1850,3760,4530,1650,39380
318,318,300,620,0,870,890,0,450,1120,770,220,550,0,5490
319,319,5460,3030,2200,2660,2370,3860,3700,4050,2710,2350,2680,2540,32150
320,320,4010,1450,2180,2590,2200,1790,2430,3050,3530,2300,2070,2660,26250
321,321,1580,500,350,790,1420,520,1180,800,1940,870,1490,850,10710
322,322,3320,920,1360,1810,2740,1650,2260,2500,520,1540,1700,1190,18190
323,323,1150,960,580,2050,2670,1690,1410,3070,1550,390,430,1360,16160
324,324,3950,3690,830,1950,3170,4270,2690,2810,3640,1650,2790,2870,30360
325,325,4960,4590,2360,4160,5150,2730,2960,5450,4190,1410,4700,2990,40690
326,326,6840,4070,3350,7470,9030,5310,7780,8780,3510,3270,6230,4400,63200
327,327,5830,4520,3390,5260,7000,6200,5960,5510,7990,4890,4970,6130,61820
328,328,1390,1790,830,910,1290,670,1000,1640,1870,1290,1510,1400,14200
329,329,3030,4630,2220,3750,2330,2200,4150,3140,2190,1860,2770,2170,31410
330,330,1290,760,940,1150,1890,2500,1410,1600,1520,1760,1650,780,15960
331,331,4970,4610,1960,3450,5320,2720,4090,4980,4830,2540,3360,2810,40670
332,332,0,250,850,610,580,180,770,830,610,930,160,200,5970
333,333,8240,5200,4600,8750,6730,6460,7080,7090,7210,3860,7160,6850,70990
334,334,0,830,230,230,290,0,490,790,280,800,850,230,5020
335,335,1540,2560,2250,3380,3940,3900,2040,1210,3200,2280,2790,2000,29550
336,336,520,0,650,1450,880,1540,220,560,450,720,630,610,7710
337,337,1650,2110,700,1460,2330,2340,2310,1350,1310,830,1200,1010,16950
338,338,5750,3670,3950,4350,5690,5570,4260,5490,4460,4640,5660,6750,54490
339,339,1280,450,810,840,240,800,1900,550,1560,680,950,370,9150
340,340,480,250,130,930,1230,280,0,260,0,550,490,600,4720
341,341,4970,3620,2460,2050,5330,5220,2610,3290,5210,3940,4300,4610,42640
342,342,4770,4580,4920,5890,5830,3550,5980,3610,5630,4260,3120,3340,50710
343,343,3920,3280,1930,4760,5350,4710,4360,4040,4290,2900,2620,4230,42470
344,344,5010,2800,3380,5540,6760,5060,4060,4910,6000,3540,3240,6000,51290
345,345,3700,4270,3160,1900,4070,5070,2590,5970,4950,2880,3230,4510,42600
346,346,3300,2150,3370,5100,4940,5210,3910,5830,4650,2330,3350,4150,44990
347,347,1020,1190,780,1460,1440,230,1950,1350,1350,1260,1060,1030,13100
348,348,570,250,780,810,530,1730,1560,1710,0,1010,390,720,9490
349,349,1240,1140,160,1430,1100,770,510,2010,1730,1180,730,430,11190
350,350,1600,900,900,1400,950,200,970,740,690,250,1360,470,8830
351,351,990,880,900,1730,1430,880,470,1060,1230,340,0,270,9190
352,352,600,1070,460,490,940,0,930,240,250,240,720,180,5520
353,353,4920,3260,3550,5390,6060,1700,5280,6920,3500,6120,4160,4900,50840
354,354,470,510,630,620,880,270,1110,580,260,580,250,420,6110
355,355,520,420,180,780,940,430,790,290,490,210,0,950,5480
356,356,1940,2010,1090,870,2050,2180,1780,1070,1060,980,1370,1560,16020
357,357,220,830,350,320,880,1210,760,1080,970,1200,690,1520,9810
358,358,730,750,800,830,300,290,430,310,300,740,710,270,5730
359,359,2770,1720,2070,840,3050,1480,2000,2240,1220,2170,2540,1400,20730
360,360,2450,2260,1820,3470,4450,3130,2310,3050,2250,1240,1000,2380,27360
361,361,0,800,220,860,890,260,460,580,490,0,1210,360,6130
362,362,5270,6590,5440,5260,9140,8010,3860,7020,5520,5650,5280,7200,68970
